Comedy,Documentary,Fantasy,Mystery,TV Movie,Animation,Science Fiction,Romance,Thriller,Horror,Adventure,Drama,Family,Crime,Foreign,War,Music,Western,History,Action
"('Comedy', 6227)","('Documentary', 485)","('Fantasy', 1276)","('Mystery', 1417)","('TV Movie', 291)","('Animation', 789)","('Science Fiction', 1678)","('Romance', 3886)","('Thriller', 4386)","('Horror', 2500)","('Adventure', 1998)","('Drama', 10383)","('Family', 1527)","('Crime', 2522)","('Foreign', 706)","('War', 722)","('Music', 733)","('Western', 570)","('History', 649)","('Action', 3685)"
"('Drama', 2186)","('Music', 46)","('Comedy', 436)","('Thriller', 941)","('Drama', 165)","('Family', 455)","('Action', 598)","('Drama', 2687)","('Drama', 2093)","('Thriller', 1094)","('Action', 1081)","('Romance', 2687)","('Comedy', 728)","('Drama', 1571)","('Drama', 447)","('Drama', 564)","('Drama', 359)","('Action', 238)","('Drama', 553)","('Thriller', 1504)"
"('Romance', 1803)","('Drama', 44)","('Adventure', 406)","('Drama', 724)","('Family', 77)","('Comedy', 250)","('Horror', 521)","('Comedy', 1803)","('Action', 1504)","('Science Fiction', 521)","('Drama', 627)","('Comedy', 2186)","('Drama', 496)","('Thriller', 1287)","('Romance', 183)","('Action', 214)","('Comedy', 350)","('Drama', 179)","('War', 190)","('Drama', 1423)"
"('Action', 780)","('Foreign', 35)","('Drama', 392)","('Crime', 443)","('Comedy', 66)","('Adventure', 233)","('Thriller', 482)","('Thriller', 326)","('Crime', 1287)","('Drama', 469)","('Comedy', 487)","('Thriller', 2093)","('Adventure', 468)","('Action', 828)","('Comedy', 167)","('History', 190)","('Romance', 299)","('Comedy', 97)","('Action', 144)","('Adventure', 1081)"
"('Family', 728)","('History', 30)","('Family', 381)","('Horror', 385)","('Thriller', 44)","('Fantasy', 183)","('Adventure', 383)","('Music', 299)","('Horror', 1094)","('Mystery', 385)","('Family', 468)","('Crime', 1571)","('Animation', 455)","('Comedy', 526)","('Action', 162)","('Romance', 118)","('Family', 83)","('Adventure', 89)","('Romance', 110)","('Crime', 828)"
"('Crime', 526)","('Comedy', 23)","('Science Fiction', 332)","('Comedy', 178)","('Romance', 43)","('Science Fiction', 121)","('Comedy', 341)","('Action', 298)","('Mystery', 941)","('Comedy', 335)","('Thriller', 414)","('Action', 1423)","('Fantasy', 381)","('Mystery', 443)","('Thriller', 140)","('Adventure', 100)","('Documentary', 46)","('Romance', 74)","('Adventure', 104)","('Comedy', 780)"
"('Adventure', 487)","('War', 18)","('Action', 277)","('Action', 169)","('Science Fiction', 36)","('Action', 104)","('Fantasy', 332)","('Crime', 219)","('Science Fiction', 482)","('Action', 260)","('Fantasy', 406)","('Mystery', 724)","('Action', 180)","('Romance', 219)","('Horror', 74)","('Thriller', 83)","('Fantasy', 43)","('Thriller', 27)","('Comedy', 42)","('Science Fiction', 598)"
"('Fantasy', 436)","('Action', 12)","('Romance', 205)","('Romance', 127)","('Action', 36)","('Drama', 92)","('Drama', 327)","('Fantasy', 205)","('Adventure', 414)","('Fantasy', 201)","('Science Fiction', 383)","('Adventure', 627)","('Romance', 162)","('Adventure', 162)","('Crime', 61)","('Comedy', 61)","('Animation', 30)","('Crime', 27)","('Thriller', 42)","('Romance', 298)"
"('Thriller', 400)","('Crime', 11)","('Horror', 201)","('Science Fiction', 110)","('Horror', 32)","('Romance', 34)","('Family', 151)","('Adventure', 199)","('Comedy', 400)","('Crime', 155)","('Animation', 233)","('War', 564)","('Science Fiction', 151)","('Horror', 155)","('Documentary', 35)","('Western', 20)","('Action', 28)","('History', 25)","('Crime', 32)","('Fantasy', 277)"
"('Music', 350)","('Romance', 10)","('Animation', 183)","('Adventure', 77)","('Fantasy', 28)","('Music', 30)","('Animation', 121)","('Foreign', 183)","('Romance', 326)","('Adventure', 87)","('Romance', 199)","('History', 553)","('Music', 83)","('Foreign', 61)","('Mystery', 35)","('Documentary', 18)","('Crime', 27)","('War', 20)","('Documentary', 30)","('Horror', 260)"
"('Science Fiction', 341)","('Thriller', 7)","('Thriller', 149)","('Fantasy', 75)","('Adventure', 27)","('Thriller', 24)","('Romance', 119)","('Family', 162)","('Fantasy', 149)","('Foreign', 74)","('Crime', 162)","('Family', 496)","('TV Movie', 77)","('Science Fiction', 53)","('Science Fiction', 35)","('Science Fiction', 16)","('Adventure', 22)","('Family', 15)","('Western', 25)","('Western', 238)"
"('Horror', 335)","('Family', 7)","('Mystery', 75)","('Foreign', 35)","('Crime', 26)","('Horror', 22)","('Mystery', 110)","('Mystery', 127)","('Foreign', 140)","('Romance', 68)","('History', 104)","('Horror', 469)","('Thriller', 26)","('History', 32)","('Adventure', 24)","('Foreign', 15)","('Horror', 19)","('Music', 13)","('Foreign', 22)","('War', 214)"
"('Animation', 250)","('Science Fiction', 5)","('Music', 43)","('Family', 25)","('Mystery', 20)","('Mystery', 19)","('Crime', 53)","('Science Fiction', 119)","('War', 83)","('TV Movie', 32)","('War', 100)","('Foreign', 447)","('Mystery', 25)","('Music', 27)","('Family', 24)","('Mystery', 13)","('Thriller', 18)","('Horror', 12)","('TV Movie', 15)","('Family', 180)"
"('Mystery', 178)","('TV Movie', 4)","('TV Movie', 28)","('TV Movie', 20)","('Music', 15)","('Crime', 11)","('TV Movie', 36)","('War', 118)","('TV Movie', 44)","('Animation', 22)","('Western', 89)","('Fantasy', 392)","('Foreign', 24)","('Western', 27)","('History', 22)","('Crime', 10)","('Science Fiction', 16)","('Science Fiction', 11)","('Music', 12)","('Mystery', 169)"
"('Foreign', 167)","('Horror', 4)","('Crime', 21)","('Animation', 19)","('History', 15)","('TV Movie', 9)","('Foreign', 35)","('History', 110)","('History', 42)","('Music', 19)","('Horror', 87)","('Music', 359)","('Crime', 22)","('TV Movie', 26)","('Fantasy', 20)","('Fantasy', 8)","('TV Movie', 15)","('TV Movie', 9)","('Mystery', 11)","('Foreign', 162)"
"('Western', 97)","('Adventure', 4)","('Foreign', 20)","('War', 13)","('Animation', 9)","('War', 8)","('War', 16)","('Western', 74)","('Western', 27)","('Family', 13)","('Mystery', 77)","('Science Fiction', 327)","('Western', 15)","('Family', 22)","('War', 15)","('TV Movie', 8)","('Western', 13)","('Fantasy', 8)","('Horror', 10)","('History', 144)"
"('TV Movie', 66)","('Fantasy', 3)","('History', 9)","('History', 11)","('Western', 9)","('Foreign', 7)","('Music', 16)","('Horror', 68)","('Family', 26)","('Western', 12)","('TV Movie', 27)","('Western', 179)","('Horror', 13)","('Fantasy', 21)","('Music', 10)","('Animation', 8)","('History', 12)","('Mystery', 6)","('Fantasy', 9)","('Animation', 104)"
"('War', 61)","('Mystery', 3)","('War', 8)","('Music', 10)","('War', 8)","('Western', 6)","('Western', 11)","('TV Movie', 43)","('Animation', 24)","('History', 10)","('Foreign', 24)","('TV Movie', 165)","('Documentary', 7)","('Documentary', 11)","('Animation', 7)","('Horror', 8)","('Mystery', 10)","('Animation', 6)","('Family', 5)","('TV Movie', 36)"
"('History', 42)","('Animation', 1)","('Western', 8)","('Western', 6)","('Documentary', 4)","('History', 2)","('Documentary', 5)","('Animation', 34)","('Music', 18)","('War', 8)","('Music', 22)","('Animation', 92)","('History', 5)","('Animation', 11)","('Western', 5)","('Family', 4)","('Foreign', 10)","('Foreign', 5)","('Science Fiction', 4)","('Music', 28)"
"('Documentary', 23)","('Western', 1)","('Documentary', 3)","('Documentary', 3)","('Foreign', 2)","('Documentary', 1)","('History', 4)","('Documentary', 10)","('Documentary', 7)","('Documentary', 4)","('Documentary', 4)","('Documentary', 44)","('War', 4)","('War', 10)","('TV Movie', 2)","('Music', 4)","('War', 4)","('Documentary', 1)","('Animation', 2)","('Documentary', 12)"
